Srno,Department,Budget Head,Allocation
793,606501 Zoo Department,4101016 Constriction of Wall – B.T.R.S,10000000
794,606501 Zoo Department,4101017 Constriction of Entry Plaza,6000000
795,606501 Zoo Department,4101030 Development of Zoo (IMC Fund),30000000
796,606501 Zoo Department,4102016 Aquariums and Cages at Zoo,1500000
797,606501 Zoo Department,4106011 Purchase of Office Equipment,100000
798,606501 Zoo Department,4123002 Dev. Of Zoo (C.Z A ),10000000
799,707301 Urban Poverty Alleviation,2101001 Salaries & Allowances,7500000
800,707301 Urban Poverty Alleviation,2201221 Postage/Courier expenses,200000
801,707301 Urban Poverty Alleviation,2202101 Printing expenses,500000
802,707301 Urban Poverty Alleviation,2203005 Travelling and Conveyance - Staff,100000
803,707301 Urban Poverty Alleviation,2208051 Miscellaneous expenses,300000
804,707301 Urban Poverty Alleviation,2305148 Misc. Civil Office Repairs,100000
805,707301 Urban Poverty Alleviation,2305150 Photo copy Exp.,300000
806,707301 Urban Poverty Alleviation,2501006 Exp. For Opening Balance of Account Post Office of Citizen for National Old Age / Social Security Pension,2000000
807,707301 Urban Poverty Alleviation,4106002 Purchase of Computers/Peripherals,500000
808,707301 Urban Poverty Alleviation,4107001 Purchase of Furniture,300000
809,808101 Street Lights Section,2101001 Salaries & Allowances,22500000
810,808101 Street Lights Section,2201221 Postage/Courier expenses,20000
811,808101 Street Lights Section,2202101 Printing expenses,100000
812,808101 Street Lights Section,2203005 Travelling and Conveyance - Staff,50000
813,808101 Street Lights Section,2205021 Energy Auditors,500000
814,808101 Street Lights Section,2206041 Workshop and Seminars,200000
815,808101 Street Lights Section,2208051 Miscellaneous expenses,100000
816,808101 Street Lights Section,2301002 Maint. of Street lighting,120000000
817,808101 Street Lights Section,2301013 Corporate buildings / electricity costs of school buildings,13500000
818,808101 Street Lights Section,2301018 Payment to MPSEB for Supervision/ New connection,5000000
819,808101 Street Lights Section,2305030 Public Lighting - Sodium & Tubes,100000
820,808101 Street Lights Section,2305031 Maint. of Highmasts (Public Lighting),3000000
821,808101 Street Lights Section,2305032 Public Lighting - Decorative,100000
822,808101 Street Lights Section,2305036 Repair of Traffic Signals,100000
823,808101 Street Lights Section,2305061 Electricity Arrangement for Garden,10000000
824,808101 Street Lights Section,2305062 Maint. Street light,40000000
825,808101 Street Lights Section,2305063 Removal of Electricity Pole,7500000
826,808101 Street Lights Section,2305064 Electricity Arrangement in Studium,500000
827,808101 Street Lights Section,2305065 Temporary Electricity Arrangement,17500000
828,808101 Street Lights Section,2305067 Maint of D.G. Set,500000
829,808101 Street Lights Section,2305068 Electric / gas Svdahgrh Mainance,100000
830,808101 Street Lights Section,2305069 Maint. of Street Light of Service Road of Ring Road,5000000
831,808101 Street Lights Section,2305071 Temporary Electric Arrangement - Historical Palaces,2500000
832,808101 Street Lights Section,2305072 Maint. of Electrical Line - Z.O.,5000000
833,808101 Street Lights Section,2305073 Maint. of Electrical Lines - H.O.,2500000
834,808101 Street Lights Section,2305074 Maint. of Central Lighting,100000
835,808101 Street Lights Section,2305075 Maint. of Street Light - Tube,100000
836,808101 Street Lights Section,4103301 Public Lighting at Burning Ghats,2500000
837,808101 Street Lights Section,4103302 Purchase of Transformer / DG Sets,1500000
838,808101 Street Lights Section,4103303 Public Lighting - Sodium & Tubes,100000
839,808101 Street Lights Section,4103304 Public Lighting - Highmasts,15000000
840,808101 Street Lights Section,4103306 Public Lighting at Other Public Places,60000000
841,808101 Street Lights Section,4103308 Electricity Charges - Historical Sites,500000
842,808101 Street Lights Section,4103309 Modernization of Main Roads (Electric Arrangment),10000000
843,808101 Street Lights Section,4103310 Electric Arrangement at - Main Sqr.,6000000
844,808101 Street Lights Section,4103311 Electric Arrangment at - New Garden,15000000
845,808101 Street Lights Section,4103312 Cons. of Gas powered set Svdahgrh,10000000
846,808101 Street Lights Section,4103314 Flud Light at Stadium,100000
847,808101 Street Lights Section,4103315 Purchase of Light Fitting Tube,15000000
848,808101 Street Lights Section,4103316 Purchase of Energy Saving Equipment,5000000
849,808101 Street Lights Section,4104010 Purchase of Hydraulic Lift for Electrical Repairing,5000000
850,808101 Street Lights Section,4106011 Purchase of Office Equipment,500000
851,808101 Street Lights Section,4107001 Purchase of Furniture,500000
852,808301 JNNURM,2101001 Salaries & Allowances,5000000
853,808301 JNNURM,2101021 Wages (Muster Workers),200000
854,808301 JNNURM,2201212 Website Maintenance,200000
855,808301 JNNURM,2201221 Postage/Courier expenses,100000
856,808301 JNNURM,2201239 Survey and Drawing consultant,30000000
857,808301 JNNURM,2202101 Printing expenses,500000
858,808301 JNNURM,2203005 Travelling and Conveyance - Staff,500000
859,808301 JNNURM,2206002 Tenders Advertisement Expenses,10000000
860,808301 JNNURM,2206021 Exhibition expenses,1000000
861,808301 JNNURM,2208051 Miscellaneous expenses,1000000
862,808301 JNNURM,2305151 Expansion/Maint. Of PIU Building,1000000
863,808301 JNNURM,2305215 Maint.Of Building,500000
864,808301 JNNURM,2305906 Maint. of Office Equipment,500000
865,808301 JNNURM,4102030 Exp. From PPP/Pub. Contrbn. In JNNURM Projects,10000000
866,808301 JNNURM,4103112 Other JNNURM Project Exp.,1000
867,808301 JNNURM,4105018 Contribution of IMC in Purchase of New City Bus / Other,20000000
868,808301 JNNURM,4106011 Purchase of Office Equipment,300000
869,808301 JNNURM,4107001 Purchase of Furniture,1000000
870,808301 JNNURM,4108010 Expenditure on Other Projects,50000000
871,808301 JNNURM,4123015 Arrangement of Distribution of water Supply,100000
872,808302 Yeswant Sagar Project,4103260 Augmentation Of Yeshwant Sagar (Water Supply),10000000
873,808303 Indore Sewerage Project,4103115 Sewerage Project,750000000
874,808305 Houses for Slum,4103261 Houses For Slum Dewellers & Urban Poor,200000000
875,808305 Houses for Slum,4103295 Housing Project in Slum Area (2 Phase),250000000
876,808306 Solid Waste Management,4123065 Solid Waste Management,50000000
877,808307 River Side Corridor Public Transport Coridore,4101023 River/ Publice Transport corridor/ Other corridor Expenditure,100000000
878,808311 Parking Structures At 20 Locations,4102024 Parking Lots,200000000
879,808701 M.P.U.S.P. (DFID),2101001 Salaries & Allowances,1000000
880,808701 M.P.U.S.P. (DFID),2511001 DFID RA Account - Finance,1700000
881,808701 M.P.U.S.P. (DFID),2511003 DFID RA Account - Human Resourses & Organsiational Development,1000
882,808701 M.P.U.S.P. (DFID),2511004 DFID RA Account - Computerization & e- Governance,1500000
883,808701 M.P.U.S.P. (DFID),2511005 DFID RA Account - Social & Community Development,2000000
884,808701 M.P.U.S.P. (DFID),2511006 DFID RA Account - Urban (Pro-poor) Planning,2500000
885,808701 M.P.U.S.P. (DFID),2511007 DFID RA Account - Engineering,2000000
886,808701 M.P.U.S.P. (DFID),2511008 DFID RA Energy Efficiency Expenditure,5000000
887,808701 M.P.U.S.P. (DFID),2511009 DFID RA Heritage Expenditure,1000000
888,808701 M.P.U.S.P. (DFID),2511011 DFID RA Account - Communications & Public Relations Management,1000
889,808701 M.P.U.S.P. (DFID),2511012 DFID RA Account - Programme Management,1000
890,808701 M.P.U.S.P. (DFID),2511013 DFID RA Account - Trainings & Workshops,2000000
891,808701 M.P.U.S.P. (DFID),2511021 DFID RA Account - MSU Support Staff Cost (Regular),500000
892,808701 M.P.U.S.P. (DFID),2511022 DFID RA Account - MSU Support Staff Cost (Incentives),1000
893,808701 M.P.U.S.P. (DFID),2511031 DFID RA Account - MPUSP Office Expenses,500000
894,808701 M.P.U.S.P. (DFID),2511032 DFID RA Account - Meeting Expenses,1000
895,808701 M.P.U.S.P. (DFID),2511033 DFID RA Account - Tender /Bid Expenses,200000
896,808701 M.P.U.S.P. (DFID),2511034 DFID RA Account - Miscellaneous Expenses,200000
897,808701 M.P.U.S.P. (DFID),2602101 DFID CI Account - Community Infrastructure,100000
898,808701 M.P.U.S.P. (DFID),2602102 DFID CI Account - Environmental Initiatives,10000000
899,808701 M.P.U.S.P. (DFID),2602103 DFID CI Account - Community Activities,1000
900,808701 M.P.U.S.P. (DFID),2602104 DFID CI Account - Livelihood- Based Initiatives,1000
901,808701 M.P.U.S.P. (DFID),4106101 DFID RA Account - Compters & Peripherals,10000000
902,808701 M.P.U.S.P. (DFID),4106102 DFID RA Account -Faxes,1000
903,808701 M.P.U.S.P. (DFID),4106103 DFID RA Account - Photo Copiers,1000
904,808701 M.P.U.S.P. (DFID),4106104 DFID RA Account - LCD Projectors,1000
905,808701 M.P.U.S.P. (DFID),4106105 DFID RA Account - Digital Cameras,1000
906,808701 M.P.U.S.P. (DFID),4106106 DFID RA Account - Others,1000
907,808701 M.P.U.S.P. (DFID),4106108 DFID RA Account - Consolidated Equipement,1000000
908,808701 M.P.U.S.P. (DFID),4107101 DFID RA Account -Chairs,1000
909,808701 M.P.U.S.P. (DFID),4107102 DFID RA Account - Tables,1000
910,808701 M.P.U.S.P. (DFID),4107103 DFID RA Account - Almirahs,1000
911,808701 M.P.U.S.P. (DFID),4107104 DFID RA Account - Cupboards,1000
912,808701 M.P.U.S.P. (DFID),4107105 DFID RA Account - Fans,1000
913,808701 M.P.U.S.P. (DFID),4107106 DFID RA Account - Electrical Fittings,1000
914,808701 M.P.U.S.P. (DFID),4107107 DFID RA Account - Air Conditioners,1000
915,808701 M.P.U.S.P. (DFID),4107108 DFID RA Account - Others,1000
916,808701 M.P.U.S.P. (DFID),4107110 DFID RA Account Consolidated Furnitures,1000
917,808701 M.P.U.S.P. (DFID),4108101 DFID In-Slum ID Account - Buildings,5000000
918,808701 M.P.U.S.P. (DFID),4108102 DFID In-Slum ID Account - Roads & Bridges,30000000
919,808701 M.P.U.S.P. (DFID),4108103 DFID In-Slum ID Account - Sewerages & drainage,10000000
920,808701 M.P.U.S.P. (DFID),4108104 DFID In-Slum ID Account - water ways,10000000
921,808701 M.P.U.S.P. (DFID),4108105 DFID In-Slum ID Account - Public Lighting,20000000
922,808701 M.P.U.S.P. (DFID),4108106 DFID In-Slum ID Account - Plant & Machinery,1000
923,808701 M.P.U.S.P. (DFID),4108107 DFID In-Slum ID Account - Vehicles,1000
924,808701 M.P.U.S.P. (DFID),4108108 DFID In-Slum ID Account - Offices & other Equipments,1000
925,808701 M.P.U.S.P. (DFID),"4108109 DFID In-Slum ID Account - Furnitures, Fixture, Fittings & electrical applicances",1000
926,808701 M.P.U.S.P. (DFID),4108110 DFID In-Slum ID Account - Other Fixed Assets,500000
927,808701 M.P.U.S.P. (DFID),4108111 Infrastructure for Batter Safety(VAW),1000
928,808701 M.P.U.S.P. (DFID),4108131 DFID Software-E-Municipality Expenditure,5000000
929,808801 ADB (UDAY),2101001 Salaries & Allowances,7500000
930,808801 ADB (UDAY),2102071 Staff training expenses,200000
931,808801 ADB (UDAY),2201221 Postage/Courier expenses,250000
932,808801 ADB (UDAY),2202101 Printing expenses,200000
933,808801 ADB (UDAY),2203005 Travelling and Conveyance - Staff,2000000
934,808801 ADB (UDAY),2208019 Privat Security for Head Works,5000000
935,808801 ADB (UDAY),2208051 Miscellaneous expenses,1000000
936,808801 ADB (UDAY),2302003 Water Meter Maintenance,1000000
937,808801 ADB (UDAY),2302004 Intake Well - Capacity 900 mld maintenance,3100000
938,808801 ADB (UDAY),2302005 Water Treatment Plant - Capacity363 mld,6000000
939,808801 ADB (UDAY),2305149 Operation of Land fill Site,10000000
940,808801 ADB (UDAY),2305222 Pre-Oprerative Exp. on Water Supp. ADB Project,500000
941,808801 ADB (UDAY),2305604 132 KV Sub-Stations,5000000
942,808801 ADB (UDAY),2305605 Clear Water Pumping Station - 3 Nos. & Elect. Sub- Stations,6600000
943,808801 ADB (UDAY),2308009 Other Maintenance Exp.,1500000
944,808801 ADB (UDAY),4103206 Electrical Substation for Intake well,500000
945,808801 ADB (UDAY),4103207 Water Treatment Plant,380000
946,808801 ADB (UDAY),4103235 Const. of Intakewell & Raw Water Pumping Station At Bank of Maheshwar H.P.P.R.,5000000
947,808801 ADB (UDAY),4103236 Supply & Laying of Pumping Main from Intakewell To bpt,2400000
948,808801 ADB (UDAY),4103237 Supply and Laying of Gavity Main from BPT To Control Room - INCLU. Works of TUNNEL Etc.,4900000
949,808801 ADB (UDAY),"4103238 Const. of Rcc, O.H.T. Group - 1(7 NOs.)",7500000
950,808801 ADB (UDAY),"4103239 Const. of Rcc, O.H.T. Group - 2(7 NOs.)",22500000
951,808801 ADB (UDAY),4103240 Work of Distribu. System (150-600MM Dia)Zone-1,143751000
952,808801 ADB (UDAY),4103248 Exp. on Pipe Line Laying & Water Pumping from main Plant to BP Tank,5000000
953,808801 ADB (UDAY),4103251 Constrution of Tunnel in Gravity Main on Identified/Gis Recommend,4500000
954,808801 ADB (UDAY),4103252 Laying of Pipes of Federmain & Other Related Works,102272000
955,808801 ADB (UDAY),"4103254 Construction of Three new water overhead tnaks (antim chauraha,Bizalpur & Narwal )",40000000
956,808801 ADB (UDAY),4103257 Additional 90 MLD Water Supply,500000
957,808801 ADB (UDAY),4103258 Physical Contigencies Tender publicity and others Expenses,10000000
958,808801 ADB (UDAY),4103259 Construction of 33 KV Double Circuit Transmission Line on Rail pales,5513000
959,808801 ADB (UDAY),4103267 Const. of Rcc O.H.T. Phase 3-2,3000000
960,808801 ADB (UDAY),4103268 Const. of Rcc O.H.T. Phase 4 - 2,5000000
961,808801 ADB (UDAY),4103269 Supply and Laying Of Gravity Main from BPT Lot 2:1784 MM - 19.89 KM,5000000
962,808801 ADB (UDAY),4103270 Constriction of Jalud Headwork’s on City & Pumping Station,275000000
963,808801 ADB (UDAY),4103271 Work of Disstribu. System (150-600MM Dai) Phase II,92339000
964,808801 ADB (UDAY),4103272 Work of Disstribu. System (150-600MM Dai) Phase III,155001000
965,808801 ADB (UDAY),4103275 Laying of Trunk Pipe Line Water Purification Treatment Plant to intake well (2134 MM),15400000
966,808801 ADB (UDAY),4103276 Laying of 132 K.V. Electric Transmitter line (Badwah to Bhklai),16000000
967,808801 ADB (UDAY),4103279 Water Supply and Constriction of Toilet (20 Slum Area ),8000000
968,808801 ADB (UDAY),4103282 6 Nos. Rcc over Head Service Reservoirsms Feeder main work,128600000
969,808801 ADB (UDAY),4103283 MS Feeder Main word for inter connection of 6 nos. Rcc OHSR,75300000
970,808801 ADB (UDAY),4103284 SoS scheme for Additional 90 MLD water supply,25000000
971,808801 ADB (UDAY),4103285 Scheme for water supply to pipe line along the By-pass,522500000
972,808801 ADB (UDAY),4103286 Scheme for water supply to IIT Indore,60000000
973,808801 ADB (UDAY),4103287 132 KV Connection For Bhaklai sub-station,100000000
974,808801 ADB (UDAY),"4104018 Const of 3 Pump Houses Inclu supply, Installation of Pumps & E.M. Civil Works",13500000
975,808801 ADB (UDAY),4107001 Purchase of Furniture,1000000
976,809001 Right To Information,2201221 Postage/Courier expenses,20000
977,809001 Right To Information,2202101 Printing expenses,50000
978,809001 Right To Information,2202105 Exp for Photocopy,50000
979,809001 Right To Information,2305906 Maint. of Office Equipment,10000
980,809001 Right To Information,4102034 Construction of New Room for RTI office,500000
981,809001 Right To Information,4106002 Purchase of Computers/Peripherals,100000
982,809001 Right To Information,4107001 Purchase of Furniture,100000
983,900301 Property Tax Section,2102062 Reward amount Payble to Employee Against Recovery of Property Tax,500000
984,900301 Property Tax Section,2203005 Travelling and Conveyance - Staff,50000
985,900301 Property Tax Section,2206005 Incentive to advance tax Payers,1000000
986,900301 Property Tax Section,2208515 Purchase of Grass for Gausha-Las,500000
987,900301 Property Tax Section,2305502 Computers,200000
988,900301 Property Tax Section,2503007 Exp. On Population Census,500000
989,900302 Water Tax Section,2102063 Reward amount Payble to Employee Against Recovery of Water tax,500000
990,900302 Water Tax Section,2201221 Postage/Courier expenses,200000
991,900302 Water Tax Section,2202101 Printing expenses,200000
992,900302 Water Tax Section,2208520 Expenses for Revenue Collection,500000
993,900302 Water Tax Section,2308022 Water Tax Recovery for Publicity & Advertsement Exp,300000
994,900302 Water Tax Section,4106028 Purchase of New Equipment for Water Tax Recovery,300000
995,900304 Revenue Department,2101021 Wages (Muster Workers),1000000
996,900304 Revenue Department,2201221 Postage/Courier expenses,25000000
997,900304 Revenue Department,2208015 Miscellancous Exp.,100000
998,900304 Revenue Department,2308016 Purchase of Grass for Gaushalas Animal,1200000
999,900304 Revenue Department,2308017 Maintenance Exp at Goshala Garden,500000
1000,900304 Revenue Department,2308018 Exp on Medicine for goshala Animal,500000
1001,900304 Revenue Department,2308020 Exp on Data Posting and Other Computer work,500000
1002,900304 Revenue Department,2308021 Exp on Maintenance of Record,200000
1003,900304 Revenue Department,4105019 Purchase of New Vehicles for Cathing of Stray Cattle,1000000
1004,900304 Revenue Department,4106024 Equipments for Cathing of Stray CAttle,500000
1005,900304 Revenue Department,4106026 Purchase New CCTV Camera,1000000
1006,900304 Revenue Department,4106027 Purchase New Automatic Trailer Printer,1000000
1007,900306 Survey Department Revenue,2101001 Salaries & Allowances,5000000
1008,900306 Survey Department Revenue,2201221 Postage/Courier expenses,100000
1009,900306 Survey Department Revenue,2202101 Printing expenses,500000
1010,900306 Survey Department Revenue,2208051 Miscellaneous expenses,100000
1011,900306 Survey Department Revenue,2208503 Survey of Land & Building,1000000
1012,900306 Survey Department Revenue,2208504 Survey of Water Connection,1000000
1013,900306 Survey Department Revenue,2208505 Survey of License,500000
1014,900306 Survey Department Revenue,2304001 Hire Charges of Light Vehicles,500000
1015,900306 Survey Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1016,900307 Assessment Department Revenue,2101001 Salaries & Allowances,25000000
1017,900307 Assessment Department Revenue,2202101 Printing expenses,500000
1018,900307 Assessment Department Revenue,2202104 Exp. on Maint. of Records,500000
1019,900307 Assessment Department Revenue,2203005 Travelling and Conveyance - Staff,100000
1020,900307 Assessment Department Revenue,2206040 Feasibility Study of Other Corporetion,200000
1021,900307 Assessment Department Revenue,2206041 Workshop and Seminars,200000
1022,900307 Assessment Department Revenue,2208051 Miscellaneous expenses,100000
1023,900307 Assessment Department Revenue,2208520 Expenses for Revenue Collection,2000000
1024,900307 Assessment Department Revenue,2304001 Hire Charges of Light Vehicles,500000
1025,900307 Assessment Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1026,900308 Recovery and Vigilence Department Revenue,2101001 Salaries & Allowances,27500000
1027,900308 Recovery and Vigilence Department Revenue,2201221 Postage/Courier expenses,50000
1028,900308 Recovery and Vigilence Department Revenue,2202101 Printing expenses,100000
1029,900308 Recovery and Vigilence Department Revenue,2203005 Travelling and Conveyance - Staff,50000
1030,900308 Recovery and Vigilence Department Revenue,2208051 Miscellaneous expenses,100000
1031,900308 Recovery and Vigilence Department Revenue,2208520 Expenses for Revenue Collection,500000
1032,900309 Market Revenue Department,2101001 Salaries & Allowances,32500000
1033,900309 Market Revenue Department,2201221 Postage/Courier expenses,10000
1034,900309 Market Revenue Department,2203005 Travelling and Conveyance - Staff,50000
1035,900309 Market Revenue Department,2208051 Miscellaneous expenses,200000
1036,900309 Market Revenue Department,2208506 Survey of Hoardings,200000
1037,900309 Market Revenue Department,4105025 Purchase of New Vehicles,2600000
