Srno,Department,Budget Head,Allocation
798,606501 Zoo Department,2305138 Training & Education of Zoo Staff,300000
799,606501 Zoo Department,2305139 Maint. of Cages For Animal Security,1000000
800,606501 Zoo Department,2305143 Moveable Cages For Animal,400000
801,606501 Zoo Department,2305144 Exp. on Security Guard Arrangement,1500000
802,606501 Zoo Department,2305145 Maintenance of Fishhome,500000
803,606501 Zoo Department,2305146 Maintenance of Cages and other,1000000
804,606501 Zoo Department,2502011 Exp. On Animal Week,100000
805,606501 Zoo Department,4101013 Purchase of New Animal,2000000
806,606501 Zoo Department,4101014 Exp. on Equipment For Vetarny Hospital,1500000
807,606501 Zoo Department,4101015 Construction of Elephant Cage,500000
808,606501 Zoo Department,4101016 Constriction of Wall – B.T.R.S,5000000
809,606501 Zoo Department,4101017 Constriction of Entry Plaza,6000000
810,606501 Zoo Department,4102016 Aquariums and Cages at Zoo,1500000
811,606501 Zoo Department,4106011 Purchase of Office Equipment,50000
812,606501 Zoo Department,4123002 Dev. Of Zoo (C.Z A ),30000000
813,707301 Urban Poverty Alleviation,2101001 Salaries & Allowances,4000000
814,707301 Urban Poverty Alleviation,2201221 Postage/Courier expenses,400000
815,707301 Urban Poverty Alleviation,2202101 Printing expenses,500000
816,707301 Urban Poverty Alleviation,2203005 Travelling and Conveyance - Staff,100000
817,707301 Urban Poverty Alleviation,2208051 Miscellaneous expenses,200000
818,707301 Urban Poverty Alleviation,2305148 Misc. Civil Office Repairs,100000
819,707301 Urban Poverty Alleviation,2305150 Photo copy Exp.,200000
820,707301 Urban Poverty Alleviation,2501006 Exp. For Opening Balance of Account Post Office of Citizen for National Old Age / Social Security Pension,3000000
821,707301 Urban Poverty Alleviation,2502006 Women & Children Welfare Expenses,100000
822,707301 Urban Poverty Alleviation,4102088 Expenditure from NSDP,5000000
823,707301 Urban Poverty Alleviation,4106002 Purchase of Computers/Peripherals,300000
824,707301 Urban Poverty Alleviation,4107001 Purchase of Furniture,500000
825,707301 Urban Poverty Alleviation,4123012 Digging of Tubewells (NSDP),100000
826,707301 Urban Poverty Alleviation,4123013 Laying of Water Pipeline (NSDP),100000
827,707301 Urban Poverty Alleviation,4123014 Const. of Road (NSDP),100000
828,808101 Street Lights Section,2101001 Salaries & Allowances,8248000
829,808101 Street Lights Section,2201221 Postage/Courier expenses,10000
830,808101 Street Lights Section,2202101 Printing expenses,100000
831,808101 Street Lights Section,2203005 Travelling and Conveyance - Staff,50000
832,808101 Street Lights Section,2205021 Energy Auditors,100000
833,808101 Street Lights Section,2206041 Workshop and Seminars,100000
834,808101 Street Lights Section,2208051 Miscellaneous expenses,100000
835,808101 Street Lights Section,2301002 Maint. of Street lighting,60000000
836,808101 Street Lights Section,2301010 Electric Exp. on New Tube well Connection,15000000
837,808101 Street Lights Section,2301011 Electricity Expenses for Tube Well,72500000
838,808101 Street Lights Section,2301013 Corporate buildings / electricity costs of school buildings,10000000
839,808101 Street Lights Section,2301014 Electricity Expenses - MPSEB - Zonal offices,1000000
840,808101 Street Lights Section,2301015 Electricity Expenses - MPSEB - Yashwant Sagar Devdharam,20000000
841,808101 Street Lights Section,2301016 Electricity Expenses - MPSEB - Bilawali,400000
842,808101 Street Lights Section,2301017 Electricity Expenses - MPSEB - Harsidhi,200000
843,808101 Street Lights Section,2301018 Payment to MPSEB for Supervision/ New connection,5000000
844,808101 Street Lights Section,2303012 Stores for Public Lighting,100000
845,808101 Street Lights Section,2305030 Public Lighting - Sodium & Tubes,100000
846,808101 Street Lights Section,2305031 Maint. of Highmasts (Public Lighting),3000000
847,808101 Street Lights Section,2305032 Public Lighting - Decorative,100000
848,808101 Street Lights Section,2305036 Repair of Traffic Signals,100000
849,808101 Street Lights Section,2305061 Electricity Arrangement for Garden,3000000
850,808101 Street Lights Section,2305062 Maint. Street light,40000000
851,808101 Street Lights Section,2305063 Removal of Electricity Pole,4000000
852,808101 Street Lights Section,2305064 Electricity Arrangement in Studium,200000
853,808101 Street Lights Section,2305065 Temporary Electricity Arrangement,17500000
854,808101 Street Lights Section,2305066 Purchase of Capacitor For Tubewell,100000
855,808101 Street Lights Section,2305067 Maint of D.G. Set,500000
856,808101 Street Lights Section,2305068 Electric / gas Svdahgrh Mainance,100000
857,808101 Street Lights Section,2305069 Maint. of Street Light of Service Road of Ring Road,1500000
858,808101 Street Lights Section,2305071 Temporary Electric Arrangement - Historical Palaces,2500000
859,808101 Street Lights Section,2305072 Maint. of Electrical Line - Z.O.,2500000
860,808101 Street Lights Section,2305073 Maint. of Electrical Lines - H.O.,2500000
861,808101 Street Lights Section,2305074 Maint. of Central Lighting,100000
862,808101 Street Lights Section,2305075 Maint. of Street Light - Tube,100000
863,808101 Street Lights Section,2305086 Expenditure On Previous Year Devlopment Works,5000000
864,808101 Street Lights Section,4103301 Public Lighting at Burning Ghats,2000000
865,808101 Street Lights Section,4103302 Purchase of Transformer / DG Sets,1500000
866,808101 Street Lights Section,4103303 Public Lighting - Sodium & Tubes,100000
867,808101 Street Lights Section,4103304 Public Lighting - Highmasts,5000000
868,808101 Street Lights Section,4103306 Public Lighting at Other Public Places,50000000
869,808101 Street Lights Section,4103308 Electricity Charges - Historical Sites,500000
870,808101 Street Lights Section,4103309 Modernization of Main Roads (Electric Arrangment),3000000
871,808101 Street Lights Section,4103310 Electric Arrangement at - Main Sqr.,3000000
872,808101 Street Lights Section,4103311 Electric Arrangment at - New Garden,20000000
873,808101 Street Lights Section,4103312 Cons. of Gas powered set Svdahgrh,500000
874,808101 Street Lights Section,4103314 Flud Light at Stadium,1000000
875,808101 Street Lights Section,4103315 Purchase of Light Fitting Tube,20000000
876,808101 Street Lights Section,4103316 Purchase of Energy Saving Equipment,500000
877,808101 Street Lights Section,4104010 Purchase of Hydraulic Lift for Electrical Repairing,4000000
878,808101 Street Lights Section,4106011 Purchase of Office Equipment,500000
879,808101 Street Lights Section,4107001 Purchase of Furniture,500000
880,808301 JNNURM,2101021 Wages (Muster Workers),500000
881,808301 JNNURM,2201212 Website Maintenance,500000
882,808301 JNNURM,2201221 Postage/Courier expenses,100000
883,808301 JNNURM,2201239 Survey and Drawing consultant,30000000
884,808301 JNNURM,2202101 Printing expenses,500000
885,808301 JNNURM,2203005 Travelling and Conveyance - Staff,1000000
886,808301 JNNURM,2206002 Tenders Advertisement Expenses,10000000
887,808301 JNNURM,2206021 Exhibition expenses,1000000
888,808301 JNNURM,2208051 Miscellaneous expenses,1000000
889,808301 JNNURM,2305151 Expansion/Maint. Of PIU Building,1500000
890,808301 JNNURM,2305174 Emergency Exp.- Slum Housing Project,1000000
891,808301 JNNURM,2305215 Maint.Of Building,1000000
892,808301 JNNURM,2305906 Maint. of Office Equipment,500000
893,808301 JNNURM,2405002 Interest on Hudco Loan for JNNURM PROJECT,80000000
894,808301 JNNURM,3303003 Loan Repayment for JNNURM,40000000
895,808301 JNNURM,"4101020 Construction of Roads (Lohamandi, Odhiuog Nagar, Mechanich Nagar)",100000
896,808301 JNNURM,4101022 Construction of Elevated Road on JR & MG Road,150000000
897,808301 JNNURM,4102023 Harritage Structure,50000000
898,808301 JNNURM,4102026 Dev. of Hawkers Zone & Hat Bazar at Various Places in the City,40000000
899,808301 JNNURM,4102030 Exp. From PPP/Pub. Contrbn. In JNNURM Projects,95100000
900,808301 JNNURM,4103110 Channelization of Nalas (Exp),170000000
901,808301 JNNURM,4103112 Other JNNURM Project Exp.,10000000
902,808301 JNNURM,4106011 Purchase of Office Equipment,500000
903,808301 JNNURM,4107001 Purchase of Furniture,1000000
904,808301 JNNURM,4108010 Expenditure on Other Projects,350000000
905,808301 JNNURM,4123015 Arrangement of Distribution of water Supply,50000000
906,808302 Yeswant Sagar Project,4103260 Augmentation Of Yeshwant Sagar (Water Supply),120000000
907,808303 Indore Sewerage Project,4103115 Sewerage Project,1500000000
908,808304 Const. of 8 Important Roads,4101024 Construction of Roads (1 st Phase) Under JNNURM,120000000
909,808305 Houses for Slum,4103261 Houses For Slum Dewellers & Urban Poor,300000000
910,808305 Houses for Slum,4103262 Slum Improvement &Rehabilitation Project,10000000
911,808305 Houses for Slum,4103295 Housing Project in Slum Area (2 Phase),200000000
912,808306 Solid Waste Management,4123018 Solid Waste Management (Phase II),50000000
913,808306 Solid Waste Management,4123065 Solid Waste Management,200000000
914,808307 River Side Corridor Public Transport Coridore,4101023 River/ Publice Transport corridor/ Other corridor Expenditure,750000000
915,808308 Development of Green Areas,4101027 Colony Parks,100000
916,808311 Parking Structures At 20 Locations,4102024 Parking Lots,200000000
917,808701 M.P.U.S.P. (DFID),2511001 DFID RA Account - Finance,4000000
918,808701 M.P.U.S.P. (DFID),2511003 DFID RA Account - Human Resourses & Organsiational Development,6000000
919,808701 M.P.U.S.P. (DFID),2511004 DFID RA Account - Computerization & e- Governance,7500000
920,808701 M.P.U.S.P. (DFID),2511005 DFID RA Account - Social & Community Development,10000000
921,808701 M.P.U.S.P. (DFID),2511006 DFID RA Account - Urban (Pro-poor) Planning,20000000
922,808701 M.P.U.S.P. (DFID),2511007 DFID RA Account - Engineering,5000000
923,808701 M.P.U.S.P. (DFID),2511008 DFID RA Energy Efficiency Expenditure,13000000
924,808701 M.P.U.S.P. (DFID),2511009 DFID RA Heritage Expenditure,1000000
925,808701 M.P.U.S.P. (DFID),2511011 DFID RA Account - Communications & Public Relations Management,1000000
926,808701 M.P.U.S.P. (DFID),2511012 DFID RA Account - Programme Management,1000000
927,808701 M.P.U.S.P. (DFID),2511013 DFID RA Account - Trainings & Workshops,10000000
928,808701 M.P.U.S.P. (DFID),2511021 DFID RA Account - MSU Support Staff Cost (Regular),3000000
929,808701 M.P.U.S.P. (DFID),2511022 DFID RA Account - MSU Support Staff Cost (Incentives),50000
930,808701 M.P.U.S.P. (DFID),2511031 DFID RA Account - MPUSP Office Expenses,1000000
931,808701 M.P.U.S.P. (DFID),2511032 DFID RA Account - Meeting Expenses,1000000
932,808701 M.P.U.S.P. (DFID),2511033 DFID RA Account - Tender /Bid Expenses,2000000
933,808701 M.P.U.S.P. (DFID),2511034 DFID RA Account - Miscellaneous Expenses,1000000
934,808701 M.P.U.S.P. (DFID),2602101 DFID CI Account - Community Infrastructure,1000000
935,808701 M.P.U.S.P. (DFID),2602102 DFID CI Account - Environmental Initiatives,1000000
936,808701 M.P.U.S.P. (DFID),2602103 DFID CI Account - Community Activities,5000000
937,808701 M.P.U.S.P. (DFID),2602104 DFID CI Account - Livelihood- Based Initiatives,1000000
938,808701 M.P.U.S.P. (DFID),4106101 DFID RA Account - Compters & Peripherals,10000000
939,808701 M.P.U.S.P. (DFID),4106103 DFID RA Account - Photo Copiers,200000
940,808701 M.P.U.S.P. (DFID),4106104 DFID RA Account - LCD Projectors,50000
941,808701 M.P.U.S.P. (DFID),4106105 DFID RA Account - Digital Cameras,100000
942,808701 M.P.U.S.P. (DFID),4106106 DFID RA Account - Others,500000
943,808701 M.P.U.S.P. (DFID),4106108 DFID RA Account - Consolidated Equipement,10000000
944,808701 M.P.U.S.P. (DFID),4107101 DFID RA Account -Chairs,50000
945,808701 M.P.U.S.P. (DFID),4108101 DFID In-Slum ID Account - Buildings,10000000
946,808701 M.P.U.S.P. (DFID),4108102 DFID In-Slum ID Account - Roads & Bridges,100000000
947,808701 M.P.U.S.P. (DFID),4108103 DFID In-Slum ID Account - Sewerages & drainage,50000000
948,808701 M.P.U.S.P. (DFID),4108104 DFID In-Slum ID Account - water ways,50000000
949,808701 M.P.U.S.P. (DFID),4108105 DFID In-Slum ID Account - Public Lighting,90000000
950,808701 M.P.U.S.P. (DFID),4108106 DFID In-Slum ID Account - Plant & Machinery,100000
951,808701 M.P.U.S.P. (DFID),4108107 DFID In-Slum ID Account - Vehicles,600000
952,808701 M.P.U.S.P. (DFID),4108108 DFID In-Slum ID Account - Offices & other Equipments,500000
953,808701 M.P.U.S.P. (DFID),"4108109 DFID In-Slum ID Account - Furnitures, Fixture, Fittings & electrical applicances",100000
954,808701 M.P.U.S.P. (DFID),4108131 DFID Software-E-Municipality Expenditure,10000000
955,808801 ADB (UDAY),2101001 Salaries & Allowances,5500000
956,808801 ADB (UDAY),2102071 Staff training expenses,200000
957,808801 ADB (UDAY),2201221 Postage/Courier expenses,800000
958,808801 ADB (UDAY),2202101 Printing expenses,200000
959,808801 ADB (UDAY),2203005 Travelling and Conveyance - Staff,2000000
960,808801 ADB (UDAY),2208051 Miscellaneous expenses,2500000
961,808801 ADB (UDAY),2301003 Electricity bill of 132 KV Sub-Station,720000000
962,808801 ADB (UDAY),2302003 Water Meter Maintenance,5000000
963,808801 ADB (UDAY),2302004 Intake Well - Capacity 900 mld maintenance,5000000
964,808801 ADB (UDAY),2302005 Water Treatment Plant - Capacity363 mld,5000000
965,808801 ADB (UDAY),2302006 Distribution & Laying of water pipe and water 1 lot 3,10000000
966,808801 ADB (UDAY),2305149 Operation of Land fill Site,3000000
967,808801 ADB (UDAY),2305222 Pre-Oprerative Exp. on Water Supp. ADB Project,5000000
968,808801 ADB (UDAY),2305604 132 KV Sub-Stations,5000000
969,808801 ADB (UDAY),2305605 Clear Water Pumping Station - 3 Nos. & Elect. Sub- Stations,3000000
970,808801 ADB (UDAY),2308009 Other Maintenance Exp.,500000
971,808801 ADB (UDAY),2404001 Intrest on Loan of Asian Development Bank water Supply Project,70000000
972,808801 ADB (UDAY),2404003 Intrest pay to ADB,60000000
973,808801 ADB (UDAY),3303004 Loan Repayment for ABD,80000000
974,808801 ADB (UDAY),4101001 Land Acquistion Etc.,800000
975,808801 ADB (UDAY),4101018 Devguradiya Sanitary Land Fill Site Work Etc.,13175000
976,808801 ADB (UDAY),4102017 Rehab. Narmada & Y.S. Pump House E.M & Civil works,9673000
977,808801 ADB (UDAY),4103206 Electrical Substation for Intake well,13272000
978,808801 ADB (UDAY),4103207 Water Treatment Plant,27625000
979,808801 ADB (UDAY),4103234 Repairing & Replacement of 400MM Dia. of Pipe Lines,7924000
980,808801 ADB (UDAY),4103235 Const. of Intakewell & Raw Water Pumping Station At Bank of Maheshwar H.P.P.R.,16788000
981,808801 ADB (UDAY),4103236 Supply & Laying of Pumping Main from Intakewell To bpt,6066000
982,808801 ADB (UDAY),4103237 Supply and Laying of Gavity Main from BPT To Control Room - INCLU. Works of TUNNEL Etc.,132287000
983,808801 ADB (UDAY),"4103239 Const. of Rcc, O.H.T. Group - 2(7 NOs.)",55275000
984,808801 ADB (UDAY),4103241 Work of Distribu. System (150-600MM Dia)Zone-2,12750000
985,808801 ADB (UDAY),4103248 Exp. on Pipe Line Laying & Water Pumping from main Plant to BP Tank,22780000
986,808801 ADB (UDAY),4103252 Laying of Pipes of Federmain & Other Related Works,104413000
987,808801 ADB (UDAY),4103263 Electric Work at Narmada Phase II & III ( Lot No. 2),1700000
988,808801 ADB (UDAY),4103264 Electric Work at Yashwant Sagar Dray Intake well ( Lot No. 3),84000
989,808801 ADB (UDAY),4103265 Installation of Residential water meter,106250000
990,808801 ADB (UDAY),4103267 Const. of Rcc O.H.T. Phase 3-2,31960000
991,808801 ADB (UDAY),4103268 Const. of Rcc O.H.T. Phase 4 - 2,31450000
992,808801 ADB (UDAY),4103269 Supply and Laying Of Gravity Main from BPT Lot 2:1784 MM - 19.89 KM,108515000
993,808801 ADB (UDAY),4103270 Constriction of Jalud Headwork’s on City & Pumping Station,119000000
994,808801 ADB (UDAY),4103271 Work of Disstribu. System (150-600MM Dai) Phase II,136000000
995,808801 ADB (UDAY),4103272 Work of Disstribu. System (150-600MM Dai) Phase III,170000000
996,808801 ADB (UDAY),4103273 Development at Trenching Ground land feel Site (Road and naali),4561000
997,808801 ADB (UDAY),4103275 Laying of Trunk Pipe Line Water Purification Treatment Plant to intake well (2134 MM),28900000
998,808801 ADB (UDAY),4103276 Laying of 132 K.V. Electric Transmitter line (Badwah to Bhklai),103700000
999,808801 ADB (UDAY),4103279 Water Supply and Constriction of Toilet (20 Slum Area ),1020000
1000,808801 ADB (UDAY),4104015 Supply and Installation of Elctro Magnetic and bulk Meter,9605000
1001,808801 ADB (UDAY),4104016 Rehabilitation of Yashwant Sagar WTP - E.M. & Civil Works,326000
1002,808801 ADB (UDAY),4104017 Changing of 46 Valves under Water Distribution System Netware,3962000
1003,808801 ADB (UDAY),"4104018 Const of 3 Pump Houses Inclu supply, Installation of Pumps & E.M. Civil Works",57375000
1004,809001 Right To Information,2201221 Postage/Courier expenses,20000
1005,809001 Right To Information,2202101 Printing expenses,50000
1006,809001 Right To Information,2202105 Exp for Photocopy,50000
1007,809001 Right To Information,2305906 Maint. of Office Equipment,10000
1008,809001 Right To Information,4102034 Construction of New Room for RTI office,500000
1009,809001 Right To Information,4106002 Purchase of Computers/Peripherals,100000
1010,809001 Right To Information,4107001 Purchase of Furniture,100000
1011,900301 Property Tax Section,2102062 Reward amount Payble to Employee Against Recovery of Property Tax,1000000
1012,900301 Property Tax Section,2203005 Travelling and Conveyance - Staff,50000
1013,900301 Property Tax Section,2206005 Incentive to advance tax Payers,1000000
1014,900301 Property Tax Section,2208515 Purchase of Grass for Gausha-Las,500000
1015,900301 Property Tax Section,2305311 Number Plate on Vehicle - Revenue,1000
1016,900301 Property Tax Section,2305502 Computers,100000
1017,900301 Property Tax Section,2503007 Exp. On Population Census,1300000
1018,900302 Water Tax Section,2102063 Reward amount Payble to Employee Against Recovery of Water tax,500000
1019,900304 Revenue Department,2201221 Postage/Courier expenses,4000000
1020,900304 Revenue Department,2208015 Miscellancous Exp.,100000
1021,900304 Revenue Department,4106024 Equipments for Cathing of Stray CAttle,500000
1022,900306 Survey Department Revenue,2101001 Salaries & Allowances,2200000
1023,900306 Survey Department Revenue,2201221 Postage/Courier expenses,100000
1024,900306 Survey Department Revenue,2202101 Printing expenses,500000
1025,900306 Survey Department Revenue,2208051 Miscellaneous expenses,100000
1026,900306 Survey Department Revenue,2208503 Survey of Land & Building,5000000
1027,900306 Survey Department Revenue,2208504 Survey of Water Connection,2000000
1028,900306 Survey Department Revenue,2208505 Survey of License,1000000
1029,900306 Survey Department Revenue,2304001 Hire Charges of Light Vehicles,100000
1030,900306 Survey Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1031,900307 Assessment Department Revenue,2101001 Salaries & Allowances,25000000
1032,900307 Assessment Department Revenue,2202101 Printing expenses,200000
1033,900307 Assessment Department Revenue,2202104 Exp. on Maint. of Records,2000000
1034,900307 Assessment Department Revenue,2203005 Travelling and Conveyance - Staff,100000
1035,900307 Assessment Department Revenue,2206040 Feasibility Study of Other Corporetion,50000
1036,900307 Assessment Department Revenue,2206041 Workshop and Seminars,200000
1037,900307 Assessment Department Revenue,2208051 Miscellaneous expenses,100000
1038,900307 Assessment Department Revenue,2208520 Expenses for Revenue Collection,2000000
1039,900307 Assessment Department Revenue,2304001 Hire Charges of Light Vehicles,100000
1040,900307 Assessment Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1041,900308 Recovery and Vigilence Department Revenue,2101001 Salaries & Allowances,20000000
1042,900308 Recovery and Vigilence Department Revenue,2201221 Postage/Courier expenses,100000
1043,900308 Recovery and Vigilence Department Revenue,2202101 Printing expenses,200000
1044,900308 Recovery and Vigilence Department Revenue,2203005 Travelling and Conveyance - Staff,100000
1045,900308 Recovery and Vigilence Department Revenue,2208051 Miscellaneous expenses,100000
1046,900308 Recovery and Vigilence Department Revenue,2208520 Expenses for Revenue Collection,1500000
1047,900309 Market Revenue Department,2101001 Salaries & Allowances,550000
1048,900309 Market Revenue Department,2201221 Postage/Courier expenses,10000
1049,900309 Market Revenue Department,2203005 Travelling and Conveyance - Staff,50000
1050,900309 Market Revenue Department,2208051 Miscellaneous expenses,200000
1051,900309 Market Revenue Department,2208506 Survey of Hoardings,200000
