Srno,Department,Budget Head,Allocation
802,808101 Street Lights Section,2301017 Electricity Expenses - MPSEB - Harsidhi,200000
803,808101 Street Lights Section,2301018 Payment to MPSEB for Supervision/ New connection,5000000
804,808101 Street Lights Section,2303012 Stores for Public Lighting,100000
805,808101 Street Lights Section,2305030 Public Lighting - Sodium & Tubes,100000
806,808101 Street Lights Section,2305031 Maint. of Highmasts (Public Lighting),2500000
807,808101 Street Lights Section,2305032 Public Lighting - Decorative,100000
808,808101 Street Lights Section,2305036 Repair of Traffic Signals,100000
809,808101 Street Lights Section,2305061 Electricity Arrangement for Garden,3000000
810,808101 Street Lights Section,2305062 Maint. Street light,40000000
811,808101 Street Lights Section,2305063 Removal of Electricity Pole,4000000
812,808101 Street Lights Section,2305064 Electricity Arrangement in Studium,200000
813,808101 Street Lights Section,2305065 Temporary Electricity Arrangement,10000000
814,808101 Street Lights Section,2305066 Purchase of Capacitor For Tubewell,100000
815,808101 Street Lights Section,2305067 Maint of D.G. Set,100000
816,808101 Street Lights Section,2305068 Electric / gas Svdahgrh Mainance,100000
817,808101 Street Lights Section,2305069 Maint. of Street Light of Service Road of Ring Road,500000
818,808101 Street Lights Section,2305071 Temporary Electric Arrangement - Historical Palaces,2500000
819,808101 Street Lights Section,2305072 Maint. of Electrical Line - Z.O.,1500000
820,808101 Street Lights Section,2305073 Maint. of Electrical Lines - H.O.,1500000
821,808101 Street Lights Section,2305074 Maint. of Central Lighting,100000
822,808101 Street Lights Section,2305075 Maint. of Street Light - Tube,100000
823,808101 Street Lights Section,2305086 Expenditure On Previous Year Devlopment Works,5000000
824,808101 Street Lights Section,4103266 Const. of Rcc O.H.T. Phase 2-5,48198000
825,808101 Street Lights Section,4103301 Public Lighting at Burning Ghats,2000000
826,808101 Street Lights Section,4103302 Purchase of Transformer / DG Sets,500000
827,808101 Street Lights Section,4103303 Public Lighting - Sodium & Tubes,100000
828,808101 Street Lights Section,4103304 Public Lighting - Highmasts,3000000
829,808101 Street Lights Section,4103306 Public Lighting at Other Public Places,10000000
830,808101 Street Lights Section,4103308 Electricity Charges - Historical Sites,500000
831,808101 Street Lights Section,4103309 Modernization of Main Roads (Electric Arrangment),3000000
832,808101 Street Lights Section,4103310 Electric Arrangement at - Main Sqr.,3000000
833,808101 Street Lights Section,4103311 Electric Arrangment at - New Garden,15000000
834,808101 Street Lights Section,4103312 Cons. of Gas powered set Svdahgrh,12500000
835,808101 Street Lights Section,4103314 Flud Light at Stadium,100000
836,808101 Street Lights Section,4103315 Purchase of Light Fitting Tube,20000000
837,808101 Street Lights Section,4103316 Purchase of Energy Saving Equipment,500000
838,808101 Street Lights Section,4104010 Purchase of Hydraulic Lift for Electrical Repairing,1000
839,808101 Street Lights Section,4106011 Purchase of Office Equipment,500000
840,808101 Street Lights Section,4107001 Purchase of Furniture,500000
841,808301 JNNURM,2201212 Website Maintenance,500000
842,808301 JNNURM,2201221 Postage/Courier expenses,100000
843,808301 JNNURM,2201239 Survey and Drawing consultant,20000000
844,808301 JNNURM,2202101 Printing expenses,500000
845,808301 JNNURM,2203005 Travelling and Conveyance - Staff,1000000
846,808301 JNNURM,2206002 Tenders Advertisement Expenses,7000000
847,808301 JNNURM,2206021 Exhibition expenses,1000000
848,808301 JNNURM,2208051 Miscellaneous expenses,500000
849,808301 JNNURM,2305151 Expansion/Maint. Of PIU Building,1000000
850,808301 JNNURM,2305174 Emergency Exp.- Slum Housing Project,1000000
851,808301 JNNURM,2305215 Maint.Of Building,500000
852,808301 JNNURM,2305906 Maint. of Office Equipment,300000
853,808301 JNNURM,2405002 Interest on Hudco Loan for JNNURM PROJECT,80000000
854,808301 JNNURM,3303003 Loan Repayment for JNNURM,40000000
855,808301 JNNURM,"4101020 Construction of Roads (Lohamandi, Odhiuog Nagar, Mechanich Nagar)",100000
856,808301 JNNURM,4101022 Construction of Elevated Road on JR & MG Road,150000000
857,808301 JNNURM,4102023 Harritage Structure,20000000
858,808301 JNNURM,4102026 Dev. of Hawkers Zone & Hat Bazar at Various Places in the City,40000000
859,808301 JNNURM,4102030 Exp. From PPP/Pub. Contrbn. In JNNURM Projects,150000000
860,808301 JNNURM,4103110 Channelization of Nalas (Exp),170000000
861,808301 JNNURM,4103112 Other JNNURM Project Exp.,10000000
862,808301 JNNURM,4106011 Purchase of Office Equipment,500000
863,808301 JNNURM,4107001 Purchase of Furniture,1000000
864,808301 JNNURM,4123015 Arrangement of Distribution of water Supply,50000000
865,808302 Yeswant Sagar Project,4103260 Augmentation Of Yeshwant Sagar (Water Supply),225000000
866,808303 Indore Sewerage Project,4103115 Sewerage Project,1500000000
867,808303 Indore Sewerage Project,4103116 Channelisation of Main Nallas,30000000
868,808304 Const. of 8 Important Roads,4101024 Construction of Roads (1 st Phase) Under JNNURM,250000000
869,808305 Houses for Slum,4103261 Houses For Slum Dewellers & Urban Poor,300000000
870,808305 Houses for Slum,4103262 Slum Improvement &Rehabilitation Project,10000000
871,808305 Houses for Slum,4103295 Housing Project in Slum Area (2 Phase),200000000
872,808306 Solid Waste Management,4123018 Solid Waste Management (Phase II),20000000
873,808306 Solid Waste Management,4123065 Solid Waste Management,350000000
874,808307 River Side Corridor Public Transport Coridore,4101023 River/ Publice Transport corridor/ Other corridor Expenditure,500000000
875,808308 Development of Green Areas,4101027 Colony Parks,40000000
876,808309 Const. of 13 Roads,4101025 Construction of 13 Roads (2 Phase) Under JNNURM,200000000
877,808311 Parking Structures At 20 Locations,4102024 Parking Lots,100000000
878,808701 M.P.U.S.P. (DFID),2511001 DFID RA Account - Finance,7500000
879,808701 M.P.U.S.P. (DFID),2511003 DFID RA Account - Human Resourses & Organsiational Development,5000000
880,808701 M.P.U.S.P. (DFID),2511004 DFID RA Account - Computerization & e- Governance,11500000
881,808701 M.P.U.S.P. (DFID),2511005 DFID RA Account - Social & Community Development,10000000
882,808701 M.P.U.S.P. (DFID),2511006 DFID RA Account - Urban (Pro-poor) Planning,5000000
883,808701 M.P.U.S.P. (DFID),2511007 DFID RA Account - Engineering,3000000
884,808701 M.P.U.S.P. (DFID),2511008 DFID RA Energy Efficiency Expenditure,13000000
885,808701 M.P.U.S.P. (DFID),2511009 DFID RA Heritage Expenditure,1500000
886,808701 M.P.U.S.P. (DFID),2511011 DFID RA Account - Communications & Public Relations Management,2000000
887,808701 M.P.U.S.P. (DFID),2511012 DFID RA Account - Programme Management,1000000
888,808701 M.P.U.S.P. (DFID),2511013 DFID RA Account - Trainings & Workshops,10000000
889,808701 M.P.U.S.P. (DFID),2511021 DFID RA Account - MSU Support Staff Cost (Regular),2000000
890,808701 M.P.U.S.P. (DFID),2511022 DFID RA Account - MSU Support Staff Cost (Incentives),1000
891,808701 M.P.U.S.P. (DFID),2511031 DFID RA Account - MPUSP Office Expenses,1000000
892,808701 M.P.U.S.P. (DFID),2511032 DFID RA Account - Meeting Expenses,1000000
893,808701 M.P.U.S.P. (DFID),2511033 DFID RA Account - Tender /Bid Expenses,1000000
894,808701 M.P.U.S.P. (DFID),2511034 DFID RA Account - Miscellaneous Expenses,1000000
895,808701 M.P.U.S.P. (DFID),2602101 DFID CI Account - Community Infrastructure,1000000
896,808701 M.P.U.S.P. (DFID),2602102 DFID CI Account - Environmental Initiatives,1000000
897,808701 M.P.U.S.P. (DFID),2602103 DFID CI Account - Community Activities,2500000
898,808701 M.P.U.S.P. (DFID),2602104 DFID CI Account - Livelihood- Based Initiatives,1000000
899,808701 M.P.U.S.P. (DFID),4106101 DFID RA Account - Compters & Peripherals,10000000
900,808701 M.P.U.S.P. (DFID),4106102 DFID RA Account -Faxes,50000
901,808701 M.P.U.S.P. (DFID),4106103 DFID RA Account - Photo Copiers,50000
902,808701 M.P.U.S.P. (DFID),4106104 DFID RA Account - LCD Projectors,50000
903,808701 M.P.U.S.P. (DFID),4106105 DFID RA Account - Digital Cameras,50000
904,808701 M.P.U.S.P. (DFID),4106106 DFID RA Account - Others,50000
905,808701 M.P.U.S.P. (DFID),4106108 DFID RA Account - Consolidated Equipement,100000
906,808701 M.P.U.S.P. (DFID),4107101 DFID RA Account -Chairs,50000
907,808701 M.P.U.S.P. (DFID),4107102 DFID RA Account - Tables,50000
908,808701 M.P.U.S.P. (DFID),4107103 DFID RA Account - Almirahs,50000
909,808701 M.P.U.S.P. (DFID),4107104 DFID RA Account - Cupboards,50000
910,808701 M.P.U.S.P. (DFID),4107105 DFID RA Account - Fans,50000
911,808701 M.P.U.S.P. (DFID),4107106 DFID RA Account - Electrical Fittings,50000
912,808701 M.P.U.S.P. (DFID),4107107 DFID RA Account - Air Conditioners,50000
913,808701 M.P.U.S.P. (DFID),4107108 DFID RA Account - Others,50000
914,808701 M.P.U.S.P. (DFID),4107110 DFID RA Account Consolidated Furnitures,10000000
915,808701 M.P.U.S.P. (DFID),4108101 DFID In-Slum ID Account - Buildings,5000000
916,808701 M.P.U.S.P. (DFID),4108102 DFID In-Slum ID Account - Roads & Bridges,100000000
917,808701 M.P.U.S.P. (DFID),4108103 DFID In-Slum ID Account - Sewerages & drainage,50000000
918,808701 M.P.U.S.P. (DFID),4108104 DFID In-Slum ID Account - water ways,50000000
919,808701 M.P.U.S.P. (DFID),4108105 DFID In-Slum ID Account - Public Lighting,90000000
920,808701 M.P.U.S.P. (DFID),4108106 DFID In-Slum ID Account - Plant & Machinery,1000000
921,808701 M.P.U.S.P. (DFID),4108107 DFID In-Slum ID Account - Vehicles,2000000
922,808701 M.P.U.S.P. (DFID),4108108 DFID In-Slum ID Account - Offices & other Equipments,2000000
923,808701 M.P.U.S.P. (DFID),"4108109 DFID In-Slum ID Account - Furnitures, Fixture, Fittings & electrical applicances",100000
924,808701 M.P.U.S.P. (DFID),4108110 DFID In-Slum ID Account - Other Fixed Assets,100000
925,808701 M.P.U.S.P. (DFID),4108111 Infrastructure for Batter Safety(VAW),100000
926,808701 M.P.U.S.P. (DFID),4108131 DFID Software-E-Municipality Expenditure,10000000
927,808801 ADB (UDAY),2101001 Salaries & Allowances,5000000
928,808801 ADB (UDAY),2102071 Staff training expenses,100000
929,808801 ADB (UDAY),2201221 Postage/Courier expenses,600000
930,808801 ADB (UDAY),2202101 Printing expenses,300000
931,808801 ADB (UDAY),2203005 Travelling and Conveyance - Staff,1800000
932,808801 ADB (UDAY),2208051 Miscellaneous expenses,1500000
933,808801 ADB (UDAY),2305222 Pre-Oprerative Exp. on Water Supp. ADB Project,3000000
934,808801 ADB (UDAY),2404001 Intrest on Loan of Asian Development Bank water Supply Project,100000000
935,808801 ADB (UDAY),2404003 Intrest pay to ADB,60000000
936,808801 ADB (UDAY),3303004 Loan Repayment for ABD,40000000
937,808801 ADB (UDAY),4101001 Land Acquistion Etc.,10000000
938,808801 ADB (UDAY),4101018 Devguradiya Sanitary Land Fill Site Work Etc.,56088000
939,808801 ADB (UDAY),4102017 Rehab. Narmada & Y.S. Pump House E.M & Civil works,8133000
940,808801 ADB (UDAY),4102048 Exp. of Other Grant(A.D.B.),500000
941,808801 ADB (UDAY),4103206 Electrical Substation for Intake well,58132000
942,808801 ADB (UDAY),4103207 Water Treatment Plant,65367000
943,808801 ADB (UDAY),4103234 Repairing & Replacement of 400MM Dia. of Pipe Lines,3482000
944,808801 ADB (UDAY),4103235 Const. of Intakewell & Raw Water Pumping Station At Bank of Maheshwar H.P.P.R.,29309000
945,808801 ADB (UDAY),4103236 Supply & Laying of Pumping Main from Intakewell To bpt,16898000
946,808801 ADB (UDAY),4103237 Supply and Laying of Gavity Main from BPT To Control Room - INCLU. Works of TUNNEL Etc.,269858000
947,808801 ADB (UDAY),"4103239 Const. of Rcc, O.H.T. Group - 2(7 NOs.)",48477000
948,808801 ADB (UDAY),4103240 Work of Distribu. System (150-600MM Dia)Zone-1,60000000
949,808801 ADB (UDAY),4103241 Work of Distribu. System (150-600MM Dia)Zone-2,70840000
950,808801 ADB (UDAY),4103248 Exp. on Pipe Line Laying & Water Pumping from main Plant to BP Tank,33060000
951,808801 ADB (UDAY),4103249 Constrution of Civil Work in Head works City Works,5500000
952,808801 ADB (UDAY),4103251 Constrution of Tunnel in Gravity Main on Identified/Gis Recommend,100000000
953,808801 ADB (UDAY),4103252 Laying of Pipes of Federmain & Other Related Works,200865000
954,808801 ADB (UDAY),4103263 Electric Work at Narmada Phase II & III ( Lot No. 2),11152000
955,808801 ADB (UDAY),4103264 Electric Work at Yashwant Sagar Dray Intake well ( Lot No. 3),1556000
956,808801 ADB (UDAY),4103265 Installation of Residential water meter,100000000
957,808801 ADB (UDAY),4103267 Const. of Rcc O.H.T. Phase 3-2,29286000
958,808801 ADB (UDAY),4103268 Const. of Rcc O.H.T. Phase 4 - 2,10980000
959,808801 ADB (UDAY),4103269 Supply and Laying Of Gravity Main from BPT Lot 2:1784 MM - 19.89 KM,139083000
960,808801 ADB (UDAY),4103270 Constriction of Jalud Headwork’s on City & Pumping Station,54000000
961,808801 ADB (UDAY),4103271 Work of Disstribu. System (150-600MM Dai) Phase II,60000000
962,808801 ADB (UDAY),4103272 Work of Disstribu. System (150-600MM Dai) Phase III,60000000
963,808801 ADB (UDAY),4103273 Development at Trenching Ground land feel Site (Road and naali),9106000
964,808801 ADB (UDAY),4103274 Survey and Research,500000
965,808801 ADB (UDAY),4103275 Laying of Trunk Pipe Line Water Purification Treatment Plant to intake well (2134 MM),169418000
966,808801 ADB (UDAY),4103276 Laying of 132 K.V. Electric Transmitter line (Badwah to Bhklai),100000000
967,808801 ADB (UDAY),4103277 Purchase of Machinery for Solid West Management (Secondary ),6634000
968,808801 ADB (UDAY),4103278 Purchase of Machinery for Solid West Management (Primary ),588000
969,808801 ADB (UDAY),4103279 Water Supply and Constriction of Toilet (20 Slum Area ),44460000
970,808801 ADB (UDAY),4104015 Supply and Installation of Elctro Magnetic and bulk Meter,2588000
971,808801 ADB (UDAY),4104016 Rehabilitation of Yashwant Sagar WTP - E.M. & Civil Works,300000
972,808801 ADB (UDAY),4104017 Changing of 46 Valves under Water Distribution System Netware,3476000
973,808801 ADB (UDAY),"4104018 Const of 3 Pump Houses Inclu supply, Installation of Pumps & E.M. Civil Works",263936000
974,808801 ADB (UDAY),4106011 Purchase of Office Equipment,200000
975,808801 ADB (UDAY),4107001 Purchase of Furniture,200000
976,808801 ADB (UDAY),4108004 Physical Contigency,15000000
977,809001 Right To Information,2201221 Postage/Courier expenses,16500
978,809001 Right To Information,2202101 Printing expenses,55000
979,809001 Right To Information,2202105 Exp for Photocopy,55000
980,809001 Right To Information,2305906 Maint. of Office Equipment,110000
981,809001 Right To Information,4106002 Purchase of Computers/Peripherals,110000
982,809001 Right To Information,4107001 Purchase of Furniture,110000
983,900301 Property Tax Section,2102062 Reward amount Payble to Employee Against Recovery of Property Tax,1000000
984,900301 Property Tax Section,2203005 Travelling and Conveyance - Staff,50000
985,900301 Property Tax Section,2305311 Number Plate on Vehicle - Revenue,1000
986,900301 Property Tax Section,2305502 Computers,100000
987,900302 Water Tax Section,1100206 Regularisation of Water Connection,0
988,900302 Water Tax Section,2102063 Reward amount Payble to Employee Against Recovery of Water tax,500000
989,900304 Revenue Department,1100207 Name Transfer Fee Water Connection,0
990,900304 Revenue Department,2201221 Postage/Courier expenses,4000000
991,900306 Survey Department Revenue,2101001 Salaries & Allowances,2200000
992,900306 Survey Department Revenue,2201221 Postage/Courier expenses,100000
993,900306 Survey Department Revenue,2202101 Printing expenses,500000
994,900306 Survey Department Revenue,2208051 Miscellaneous expenses,100000
995,900306 Survey Department Revenue,2208503 Survey of Land & Building,5000000
996,900306 Survey Department Revenue,2208504 Survey of Water Connection,2000000
997,900306 Survey Department Revenue,2208505 Survey of License,1000000
998,900306 Survey Department Revenue,2303005 Stores for Road Cleaning,50000
999,900306 Survey Department Revenue,2304001 Hire Charges of Light Vehicles,100000
1000,900306 Survey Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1001,900307 Assessment Department Revenue,2101001 Salaries & Allowances,25000000
1002,900307 Assessment Department Revenue,2202101 Printing expenses,200000
1003,900307 Assessment Department Revenue,2202104 Exp. on Maint. of Records,2000000
1004,900307 Assessment Department Revenue,2203005 Travelling and Conveyance - Staff,100000
1005,900307 Assessment Department Revenue,2206040 Feasibility Study of Other Corporetion,50000
1006,900307 Assessment Department Revenue,2206041 Workshop and Seminars,200000
1007,900307 Assessment Department Revenue,2208051 Miscellaneous expenses,100000
1008,900307 Assessment Department Revenue,2208520 Expenses for Revenue Collection,2000000
1009,900307 Assessment Department Revenue,2304001 Hire Charges of Light Vehicles,100000
1010,900307 Assessment Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1011,900308 Recovery and Vigilence Department Revenue,2101001 Salaries & Allowances,20000000
1012,900308 Recovery and Vigilence Department Revenue,2201221 Postage/Courier expenses,100000
1013,900308 Recovery and Vigilence Department Revenue,2202101 Printing expenses,100000
1014,900308 Recovery and Vigilence Department Revenue,2203005 Travelling and Conveyance - Staff,50000
1015,900308 Recovery and Vigilence Department Revenue,2208051 Miscellaneous expenses,100000
1016,900308 Recovery and Vigilence Department Revenue,2208520 Expenses for Revenue Collection,500000
1017,900309 Market Revenue Department,2101001 Salaries & Allowances,550000
1018,900309 Market Revenue Department,2201221 Postage/Courier expenses,10000
1019,900309 Market Revenue Department,2203005 Travelling and Conveyance - Staff,50000
1020,900309 Market Revenue Department,2208051 Miscellaneous expenses,100000
1021,900309 Market Revenue Department,2208506 Survey of Hoardings,200000
