Srno,Department,Budget Head,Allocation
777,505201 Drainage Department,"4106013 Purchase of Machine, Sewerline",40000000
778,505201 Drainage Department,4106030 Computer & Other IT Hardware Equipment Purchase Expenditures,1000000
779,505201 Drainage Department,4108025 Chief Minister Infrastructure Development Expenditure(Khan River Tatkalik purification / sewerage works spending),500000000
780,505201 Drainage Department,4122091 Expenses from MLA Fund,5000000
781,505201 Drainage Department,4122099 Expenses From Member of Parliament Fund,5000000
782,505201 Drainage Department,4123004 Share of IMC (Sulabh Complex),9000000
783,606101 Garden Department,2101001 Salaries & Allowances,66000000
784,606101 Garden Department,2101021 Wages (Muster Workers),55000000
785,606101 Garden Department,2201221 Postage/Courier expenses,10000
786,606101 Garden Department,2202101 Printing expenses,100000
787,606101 Garden Department,2203005 Travelling and Conveyance - Staff,10000
788,606101 Garden Department,2208051 Miscellaneous expenses,200000
789,606101 Garden Department,2208545 Expenses on Plantations on Pitra Parvat,500000
790,606101 Garden Department,2305049 Vehicle Hire Rent JCB/Other,1000000
791,606101 Garden Department,2305050 Maint of Quarters,25000
792,606101 Garden Department,"2305101 Parks, Nurseries & Gardens",10000
793,606101 Garden Department,2305104 Swimming Pool Mhow Naka,1000000
794,606101 Garden Department,"2305110 Dev. of Pakshi Vihar/ Bird Sanctuaries, Aquariums",200000
795,606101 Garden Department,2305153 Exp for Maintenance Of garden By R.W.A./Mohalla samiti,500000
796,606101 Garden Department,2305162 Exp for Pipliya Pala regional Park Maintance,40000000
797,606101 Garden Department,2305163 Mantenanc of gardan( zone ),22500000
798,606101 Garden Department,2305164 Tree Plantation Exp. from Tree Compensation Income,200000
799,606101 Garden Department,2305171 Automatic Camera & Unifor Maintenance Expenses,700000
800,606101 Garden Department,2305178 Maint of Swimming Pool - Nehru Park,1000000
801,606101 Garden Department,2305179 Exp. on Beautification of Sqr (Main),1500000
802,606101 Garden Department,2305180 Maint. of Bijasan Garden,300000
803,606101 Garden Department,2305181 Maint. of Deen Dayal Garden,200000
804,606101 Garden Department,2305182 Maint. of Sirpur Garden,1000000
805,606101 Garden Department,2305184 Maint. of Nehru park,2500000
806,606101 Garden Department,2305186 Maint. of Meghdoot Garden & Bharatmata Temple Garden,500000
807,606101 Garden Department,2305189 Maint of Garden & Picnic Spots,50000000
808,606101 Garden Department,4101005 Dev. of Parks & Gardens,140000000
809,606101 Garden Department,4101008 Swimming Pool,100000
810,606101 Garden Department,4101009 Dev. Of Pitra Parvat,22000000
811,606101 Garden Department,4101010 Dev. of Nehru Park,3000000
812,606101 Garden Department,4101011 Dev. of Bijasan,100000
813,606101 Garden Department,4101012 Plantation on Govt. Land,10000000
814,606101 Garden Department,4101029 Construction of Entertainment Place Near Sirpur talab (Appu Ghar and Other,10000000
815,606101 Garden Department,4101031 Piplia frost Regional Park development expenditure,50000000
816,606101 Garden Department,4101032 Development of the City Forest and Greenery expenditure on works,30000000
817,606101 Garden Department,4101033 Land Development of Meghdoot Garden (Mangal Meriland),10000000
818,606101 Garden Department,4101035 Regional Park – Laser Show Structure Expenses,40000000
819,606101 Garden Department,4101036 Development of Pipliyahana Talab Exp.,30000000
820,606101 Garden Department,4103008 Road side Avenue Plantation (Project Green),50000000
821,606101 Garden Department,4104024 Tree Transformation Machinery Purchase Exp./ Hire Charges,40000000
822,606101 Garden Department,4105011 Purchase of JCB/Truck / Tractar/ Water tank,4000000
823,606101 Garden Department,4106011 Purchase of Office Equipment,300000
824,606101 Garden Department,4107001 Purchase of Furniture,100000
825,606101 Garden Department,4108015 Kids Zone plan expenditure,10000000
826,606101 Garden Department,4108026 Chief Minister Infrastructure Development Expenditure (Environmental Development & City Forest),50000000
827,606501 Zoo Department,2101001 Salaries & Allowances,22000000
828,606501 Zoo Department,2101011 Expenditure on labor,4000000
829,606501 Zoo Department,2201221 Postage/Courier expenses,10000
830,606501 Zoo Department,2202101 Printing expenses,100000
831,606501 Zoo Department,2203005 Travelling and Conveyance - Staff,200000
832,606501 Zoo Department,2208051 Miscellaneous expenses,50000
833,606501 Zoo Department,2208554 Exp. On Animal Care Centre,5000000
834,606501 Zoo Department,2303010 Stores for Zoo/Sanctuaries,4500000
835,606501 Zoo Department,2303011 Stores for Medicine Consumption,500000
836,606501 Zoo Department,2303013 Exp. On Food for Animal,2500000
837,606501 Zoo Department,2303014 Exp. On Green Grass For Animals,500000
838,606501 Zoo Department,2303015 Exp. on Dry Grass For Animal,2000000
839,606501 Zoo Department,2305109 Zoos (including maintenance of cages),4000000
840,606501 Zoo Department,2305138 Training & Education of Zoo Staff,100000
841,606501 Zoo Department,2305139 Maint. of Cages For Animal Security,800000
842,606501 Zoo Department,2305143 Moveable Cages For Animal,700000
843,606501 Zoo Department,2305144 Exp. on Security Guard Arrangement,5000000
844,606501 Zoo Department,2305145 Maintenance of Fishhome,5000000
845,606501 Zoo Department,2305146 Maintenance of Cages and other,1000000
846,606501 Zoo Department,2308015 Fruit and Vegetable Exp for Animals,2500000
847,606501 Zoo Department,2502011 Exp. On Animal Week,200000
848,606501 Zoo Department,4101013 Purchase of New Animal,1000000
849,606501 Zoo Department,4101014 Exp. on Equipment For Vetarny Hospital,1000000
850,606501 Zoo Department,4101015 Construction of Elephant Cage,5000000
851,606501 Zoo Department,4101016 Constriction of Wall – B.T.R.S,10000000
852,606501 Zoo Department,4101017 Constriction of Entry Plaza,8000000
853,606501 Zoo Department,4101030 Development of Zoo (IMC Fund),30000000
854,606501 Zoo Department,4102016 Aquariums and Cages at Zoo,5000000
855,606501 Zoo Department,4106011 Purchase of Office Equipment,250000
856,606501 Zoo Department,4123002 Dev. Of Zoo (C.Z A ),10000000
857,707301 Urban Poverty Alleviation,2101001 Salaries & Allowances,13750000
858,707301 Urban Poverty Alleviation,2201221 Postage/Courier expenses,200000
859,707301 Urban Poverty Alleviation,2202101 Printing expenses,500000
860,707301 Urban Poverty Alleviation,2203005 Travelling and Conveyance - Staff,100000
861,707301 Urban Poverty Alleviation,2208051 Miscellaneous expenses,300000
862,707301 Urban Poverty Alleviation,2305148 Misc. Civil Office Repairs,100000
863,707301 Urban Poverty Alleviation,2305150 Photo copy Exp.,300000
864,707301 Urban Poverty Alleviation,2305915 National Urban Livelihoods Mission Plan Expenditure,10000000
865,707301 Urban Poverty Alleviation,2501004 Pt. Dindayal Senior Citizen Insurance Scheme (For Citizens of Indore),8000000
866,707301 Urban Poverty Alleviation,2501006 Exp. For Opening Balance of Account Post Office of Citizen for National Old Age / Social Security Pension,2000000
867,707301 Urban Poverty Alleviation,2502019 Poverty Rekhadharkon Antyeshti family support,2000000
868,707301 Urban Poverty Alleviation,2603002 Entire Social Security Purpose Exp.,15000000
869,707301 Urban Poverty Alleviation,4106002 Purchase of Computers/Peripherals,500000
870,707301 Urban Poverty Alleviation,4107001 Purchase of Furniture,300000
871,808101 Street Lights Section,2101001 Salaries & Allowances,27500000
872,808101 Street Lights Section,2201221 Postage/Courier expenses,20000
873,808101 Street Lights Section,2202101 Printing expenses,100000
874,808101 Street Lights Section,2203005 Travelling and Conveyance - Staff,50000
875,808101 Street Lights Section,2205021 Energy Auditors,500000
876,808101 Street Lights Section,2205217 Solar Study exp for Energy Saving,2500000
877,808101 Street Lights Section,2206041 Workshop and Seminars,200000
878,808101 Street Lights Section,2208051 Miscellaneous expenses,100000
879,808101 Street Lights Section,2301002 Maint. of Street lighting,180000000
880,808101 Street Lights Section,2301013 Corporate buildings / electricity costs of school buildings,20000000
881,808101 Street Lights Section,2301018 Payment to MPSEB for Supervision/ New connection,10000000
882,808101 Street Lights Section,2305030 Public Lighting - Sodium & Tubes,100000
883,808101 Street Lights Section,2305031 Maint. of Highmasts (Public Lighting),10000000
884,808101 Street Lights Section,2305032 Public Lighting - Decorative,100000
885,808101 Street Lights Section,2305036 Repair of Traffic Signals,100000
886,808101 Street Lights Section,2305061 Electricity Arrangement for Garden,15000000
887,808101 Street Lights Section,2305062 Maint. Street light,60000000
888,808101 Street Lights Section,2305063 Removal of Electricity Pole,20000000
889,808101 Street Lights Section,2305064 Electricity Arrangement in Studium,500000
890,808101 Street Lights Section,2305065 Temporary Electricity Arrangement,17500000
891,808101 Street Lights Section,2305067 Maint of D.G. Set,500000
892,808101 Street Lights Section,2305068 Electric / gas Svdahgrh Mainance,100000
893,808101 Street Lights Section,2305069 Maint. of Street Light of Service Road of Ring Road,20000000
894,808101 Street Lights Section,2305071 Temporary Electric Arrangement - Historical Palaces,2500000
895,808101 Street Lights Section,2305072 Maint. of Electrical Line - Z.O.,5000000
896,808101 Street Lights Section,2305073 Maint. of Electrical Lines - H.O.,5000000
897,808101 Street Lights Section,2305074 Maint. of Central Lighting,20000000
898,808101 Street Lights Section,2305075 Maint. of Street Light - Tube,100000
899,808101 Street Lights Section,4103301 Public Lighting at Burning Ghats,5000000
900,808101 Street Lights Section,4103302 Purchase of Transformer / DG Sets,1500000
901,808101 Street Lights Section,4103303 Public Lighting - Sodium & Tubes,100000
902,808101 Street Lights Section,4103304 Public Lighting - Highmasts,40000000
903,808101 Street Lights Section,4103306 Public Lighting at Other Public Places,100000000
904,808101 Street Lights Section,4103308 Electricity Charges - Historical Sites,500000
905,808101 Street Lights Section,4103309 Modernization of Main Roads (Electric Arrangment),80000000
906,808101 Street Lights Section,4103310 Electric Arrangement at - Main Sqr.,45000000
907,808101 Street Lights Section,4103311 Electric Arrangment at - New Garden,35000000
908,808101 Street Lights Section,4103312 Cons. of Gas powered set Svdahgrh,10000000
909,808101 Street Lights Section,4103314 Flud Light at Stadium,100000
910,808101 Street Lights Section,4103315 Purchase of Light Fitting Tube,60000000
911,808101 Street Lights Section,4103316 Purchase of Energy Saving Equipment,5000000
912,808101 Street Lights Section,4103319 Street Light Line (Wire) Expenditure,10000000
913,808101 Street Lights Section,4104010 Purchase of Hydraulic Lift for Electrical Repairing,5000000
914,808101 Street Lights Section,4104021 Solar Plant Project Development Expenditure,20000000
915,808101 Street Lights Section,4106011 Purchase of Office Equipment,500000
916,808101 Street Lights Section,4106031 C.C.T.V. Camera exp.(Temporary),2500000
917,808101 Street Lights Section,4106032 C.C.T.V Camera Installation at IMC Head Office & Zonal Office,5000000
918,808101 Street Lights Section,4107001 Purchase of Furniture,500000
919,808101 Street Lights Section,4108027 Chief Minister Infrastructure Development Expenditure (Light Arrangement / Central Lighting and other Work),100000000
920,808301 JNNURM,2101001 Salaries & Allowances,5000000
921,808301 JNNURM,2101021 Wages (Muster Workers),200000
922,808301 JNNURM,2101026 Salaries Remuneration / Honorarium Exp. (Contract basis),2500000
923,808301 JNNURM,2201212 Website Maintenance,200000
924,808301 JNNURM,2201221 Postage/Courier expenses,100000
925,808301 JNNURM,2201239 Survey and Drawing consultant,50000000
926,808301 JNNURM,2202101 Printing expenses,500000
927,808301 JNNURM,2203005 Travelling and Conveyance - Staff,500000
928,808301 JNNURM,2206002 Tenders Advertisement Expenses,20000000
929,808301 JNNURM,2206021 Exhibition expenses,2000000
930,808301 JNNURM,2208051 Miscellaneous expenses,1000000
931,808301 JNNURM,2305151 Expansion/Maint. Of PIU Building,1000000
932,808301 JNNURM,2305215 Maint.Of Building,500000
933,808301 JNNURM,2305906 Maint. of Office Equipment,500000
934,808301 JNNURM,4102030 Exp. From PPP/Pub. Contrbn. In JNNURM Projects,10000000
935,808301 JNNURM,4103040 Flyovers & Bridges - BRTS,150000000
936,808301 JNNURM,4103112 Other JNNURM Project Exp.,1000000
937,808301 JNNURM,4104030 Water Distribution System Survey Yojna Expenses,50000000
938,808301 JNNURM,4104031 Pipeline for Water Distribution at A.B. Road Byepass Area,100000000
939,808301 JNNURM,4105018 Contribution of IMC in Purchase of New City Bus / Other,20000000
940,808301 JNNURM,4106011 Purchase of Office Equipment,500000
941,808301 JNNURM,4107001 Purchase of Furniture,1000000
942,808301 JNNURM,4108010 Expenditure on Other Projects,5000000
943,808301 JNNURM,4108097 JNNURM 2nd Phase Scheme Expenditure/ other misson Scheme Expenditure,20000000
944,808301 JNNURM,4123015 Arrangement of Distribution of water Supply,100000000
945,808302 Yeswant Sagar Project,4103260 Augmentation Of Yeshwant Sagar (Water Supply),10000000
946,808303 Indore Sewerage Project,4103115 Sewerage Project,900000000
947,808305 Houses for Slum,4103261 Houses For Slum Dewellers & Urban Poor,75000000
948,808305 Houses for Slum,4103295 Housing Project in Slum Area (2 Phase),250000000
949,808306 Solid Waste Management,4123065 Solid Waste Management,30000000
950,808307 River Side Corridor Public Transport Coridore,4101023 River/ Publice Transport corridor/ Other corridor Expenditure,420000000
951,808311 Parking Structures At 20 Locations,4102024 Parking Lots,250000000
952,808701 M.P.U.S.P. (DFID),2101001 Salaries & Allowances,1000
953,808701 M.P.U.S.P. (DFID),2511001 DFID RA Account - Finance,220000
954,808701 M.P.U.S.P. (DFID),2511003 DFID RA Account - Human Resourses & Organsiational Development,1000
955,808701 M.P.U.S.P. (DFID),2511004 DFID RA Account - Computerization & e- Governance,1500000
956,808701 M.P.U.S.P. (DFID),2511005 DFID RA Account - Social & Community Development,60000
957,808701 M.P.U.S.P. (DFID),2511006 DFID RA Account - Urban (Pro-poor) Planning,4200000
958,808701 M.P.U.S.P. (DFID),2511007 DFID RA Account - Engineering,500000
959,808701 M.P.U.S.P. (DFID),2511008 DFID RA Energy Efficiency Expenditure,1000
960,808701 M.P.U.S.P. (DFID),2511009 DFID RA Heritage Expenditure,1000
961,808701 M.P.U.S.P. (DFID),2511011 DFID RA Account - Communications & Public Relations Management,1000
962,808701 M.P.U.S.P. (DFID),2511012 DFID RA Account - Programme Management,1000
963,808701 M.P.U.S.P. (DFID),2511013 DFID RA Account - Trainings & Workshops,1000
964,808701 M.P.U.S.P. (DFID),2511021 DFID RA Account - MSU Support Staff Cost (Regular),78000
965,808701 M.P.U.S.P. (DFID),2511022 DFID RA Account - MSU Support Staff Cost (Incentives),1000
966,808701 M.P.U.S.P. (DFID),2511031 DFID RA Account - MPUSP Office Expenses,1000
967,808701 M.P.U.S.P. (DFID),2511032 DFID RA Account - Meeting Expenses,1000
968,808701 M.P.U.S.P. (DFID),2511033 DFID RA Account - Tender /Bid Expenses,1000
969,808701 M.P.U.S.P. (DFID),2511034 DFID RA Account - Miscellaneous Expenses,1000
970,808701 M.P.U.S.P. (DFID),2602101 DFID CI Account - Community Infrastructure,1000
971,808701 M.P.U.S.P. (DFID),2602102 DFID CI Account - Environmental Initiatives,1000
972,808701 M.P.U.S.P. (DFID),2602103 DFID CI Account - Community Activities,1000
973,808701 M.P.U.S.P. (DFID),2602104 DFID CI Account - Livelihood- Based Initiatives,1000
974,808701 M.P.U.S.P. (DFID),4106101 DFID RA Account - Compters & Peripherals,1000
975,808701 M.P.U.S.P. (DFID),4106102 DFID RA Account -Faxes,1000
976,808701 M.P.U.S.P. (DFID),4106103 DFID RA Account - Photo Copiers,1000
977,808701 M.P.U.S.P. (DFID),4106104 DFID RA Account - LCD Projectors,1000
978,808701 M.P.U.S.P. (DFID),4106105 DFID RA Account - Digital Cameras,1000
979,808701 M.P.U.S.P. (DFID),4106106 DFID RA Account - Others,1000
980,808701 M.P.U.S.P. (DFID),4106108 DFID RA Account - Consolidated Equipement,1000
981,808701 M.P.U.S.P. (DFID),4107101 DFID RA Account -Chairs,1000
982,808701 M.P.U.S.P. (DFID),4107102 DFID RA Account - Tables,1000
983,808701 M.P.U.S.P. (DFID),4107103 DFID RA Account - Almirahs,1000
984,808701 M.P.U.S.P. (DFID),4107104 DFID RA Account - Cupboards,1000
985,808701 M.P.U.S.P. (DFID),4107105 DFID RA Account - Fans,1000
986,808701 M.P.U.S.P. (DFID),4107106 DFID RA Account - Electrical Fittings,1000
987,808701 M.P.U.S.P. (DFID),4107107 DFID RA Account - Air Conditioners,1000
988,808701 M.P.U.S.P. (DFID),4107108 DFID RA Account - Others,1000
989,808701 M.P.U.S.P. (DFID),4107110 DFID RA Account Consolidated Furnitures,1000
990,808701 M.P.U.S.P. (DFID),4108101 DFID In-Slum ID Account - Buildings,295000
991,808701 M.P.U.S.P. (DFID),4108102 DFID In-Slum ID Account - Roads & Bridges,477000
992,808701 M.P.U.S.P. (DFID),4108103 DFID In-Slum ID Account - Sewerages & drainage,1000
993,808701 M.P.U.S.P. (DFID),4108104 DFID In-Slum ID Account - water ways,1000
994,808701 M.P.U.S.P. (DFID),4108105 DFID In-Slum ID Account - Public Lighting,1669000
995,808701 M.P.U.S.P. (DFID),4108106 DFID In-Slum ID Account - Plant & Machinery,1000
996,808701 M.P.U.S.P. (DFID),4108107 DFID In-Slum ID Account - Vehicles,1000
997,808701 M.P.U.S.P. (DFID),4108108 DFID In-Slum ID Account - Offices & other Equipments,1000
998,808701 M.P.U.S.P. (DFID),"4108109 DFID In-Slum ID Account - Furnitures, Fixture, Fittings & electrical applicances",1000
999,808701 M.P.U.S.P. (DFID),4108110 DFID In-Slum ID Account - Other Fixed Assets,1000
1000,808701 M.P.U.S.P. (DFID),4108111 Infrastructure for Batter Safety(VAW),1000
1001,808701 M.P.U.S.P. (DFID),4108131 DFID Software-E-Municipality Expenditure,1000
1002,808701 M.P.U.S.P. (DFID),4121042 Utthan Second Face (MPUIIP) Expenditure,50000000
1003,808801 ADB (UDAY),2101001 Salaries & Allowances,7500000
1004,808801 ADB (UDAY),2102071 Staff training expenses,100000
1005,808801 ADB (UDAY),2201221 Postage/Courier expenses,15000
1006,808801 ADB (UDAY),2202101 Printing expenses,125000
1007,808801 ADB (UDAY),2203005 Travelling and Conveyance - Staff,1500000
1008,808801 ADB (UDAY),2208051 Miscellaneous expenses,10000000
1009,808801 ADB (UDAY),2305604 132 KV Sub-Stations,2000000
1010,808801 ADB (UDAY),2308009 Other Maintenance Exp.,1000000
1011,808801 ADB (UDAY),4103206 Electrical Substation for Intake well,43000000
1012,808801 ADB (UDAY),4103240 Work of Distribu. System (150-600MM Dia)Zone-1,50000000
1013,808801 ADB (UDAY),4103252 Laying of Pipes of Federmain & Other Related Works,72000000
1014,808801 ADB (UDAY),4103258 Physical Contigencies Tender publicity and others Expenses,1000000
1015,808801 ADB (UDAY),4103270 Constriction of Jalud Headwork’s on City & Pumping Station,130000000
1016,808801 ADB (UDAY),4103272 Work of Disstribu. System (150-600MM Dai) Phase III,50000000
1017,808801 ADB (UDAY),4103283 MS Feeder Main word for inter connection of 6 nos. Rcc OHSR,6000000
1018,808801 ADB (UDAY),4103284 SoS scheme for Additional 90 MLD water supply,19000000
1019,808801 ADB (UDAY),4103285 Scheme for water supply to pipe line along the By-pass,1000
1020,808801 ADB (UDAY),4103286 Scheme for water supply to IIT Indore,1000
1021,808801 ADB (UDAY),4103287 132 KV Connection For Bhaklai sub-station,1000
1022,808801 ADB (UDAY),"4104018 Const of 3 Pump Houses Inclu supply, Installation of Pumps & E.M. Civil Works",1000
1023,808801 ADB (UDAY),4107001 Purchase of Furniture,100000
1024,808801 ADB (UDAY),4108098 Meter Expenditure for Water Connections,1000
1025,809001 Right To Information,2201221 Postage/Courier expenses,20000
1026,809001 Right To Information,2202101 Printing expenses,50000
1027,809001 Right To Information,2202105 Exp for Photocopy,50000
1028,809001 Right To Information,2305906 Maint. of Office Equipment,10000
1029,809001 Right To Information,4102034 Construction of New Room for RTI office,200000
1030,809001 Right To Information,4106002 Purchase of Computers/Peripherals,100000
1031,809001 Right To Information,4107001 Purchase of Furniture,100000
1032,900301 Property Tax Section,2102062 Reward amount Payble to Employee Against Recovery of Property Tax,500000
1033,900301 Property Tax Section,2203005 Travelling and Conveyance - Staff,50000
1034,900301 Property Tax Section,2206005 Incentive to advance tax Payers,1500000
1035,900301 Property Tax Section,2208515 Purchase of Grass for Gausha-Las,500000
1036,900301 Property Tax Section,2305502 Computers,200000
1037,900301 Property Tax Section,2503007 Exp. On Population Census,500000
1038,900302 Water Tax Section,2102063 Reward amount Payble to Employee Against Recovery of Water tax,500000
1039,900302 Water Tax Section,2201221 Postage/Courier expenses,100000
1040,900302 Water Tax Section,2202101 Printing expenses,200000
1041,900302 Water Tax Section,2208520 Expenses for Revenue Collection,500000
1042,900302 Water Tax Section,2308022 Water Tax Recovery for Publicity & Advertsement Exp,300000
1043,900302 Water Tax Section,4106028 Purchase of New Equipment for Water Tax Recovery,300000
1044,900304 Revenue Department,2101021 Wages (Muster Workers),1500000
1045,900304 Revenue Department,2201221 Postage/Courier expenses,25000000
1046,900304 Revenue Department,2208015 Miscellancous Exp.,100000
1047,900304 Revenue Department,2308016 Purchase of Grass for Gaushalas Animal,5100000
1048,900304 Revenue Department,2308017 Maintenance Exp at Goshala Garden,1000000
1049,900304 Revenue Department,2308018 Exp on Medicine for goshala Animal,1000000
1050,900304 Revenue Department,2308020 Exp on Data Posting and Other Computer work,500000
1051,900304 Revenue Department,2308021 Exp on Maintenance of Record,200000
1052,900304 Revenue Department,4105019 Purchase of New Vehicles for Cathing of Stray Cattle,1000000
1053,900304 Revenue Department,4106024 Equipments for Cathing of Stray CAttle,500000
1054,900304 Revenue Department,4106026 Purchase New CCTV Camera,1000000
1055,900304 Revenue Department,4106027 Purchase New Automatic Trailer Printer,1000000
1056,900306 Survey Department Revenue,2101001 Salaries & Allowances,6600000
1057,900306 Survey Department Revenue,2201221 Postage/Courier expenses,100000
1058,900306 Survey Department Revenue,2202101 Printing expenses,500000
1059,900306 Survey Department Revenue,2208028 Survey of Expansion of Urban Area Expenditure,2500000
1060,900306 Survey Department Revenue,2208051 Miscellaneous expenses,100000
1061,900306 Survey Department Revenue,2208503 Survey of Land & Building,1000000
1062,900306 Survey Department Revenue,2208504 Survey of Water Connection,1000000
1063,900306 Survey Department Revenue,2208505 Survey of License,500000
1064,900306 Survey Department Revenue,2304001 Hire Charges of Light Vehicles,500000
1065,900306 Survey Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1066,900307 Assessment Department Revenue,2101001 Salaries & Allowances,33000000
1067,900307 Assessment Department Revenue,2202101 Printing expenses,500000
1068,900307 Assessment Department Revenue,2202104 Exp. on Maint. of Records,500000
1069,900307 Assessment Department Revenue,2203005 Travelling and Conveyance - Staff,100000
1070,900307 Assessment Department Revenue,2206040 Feasibility Study of Other Corporetion,200000
1071,900307 Assessment Department Revenue,2206041 Workshop and Seminars,200000
1072,900307 Assessment Department Revenue,2208051 Miscellaneous expenses,100000
1073,900307 Assessment Department Revenue,2208520 Expenses for Revenue Collection,2500000
1074,900307 Assessment Department Revenue,2304001 Hire Charges of Light Vehicles,500000
1075,900307 Assessment Department Revenue,2305401 Maint. of Furniture /Fixtures,200000
1076,900308 Recovery and Vigilence Department Revenue,2101001 Salaries & Allowances,35750000
1077,900308 Recovery and Vigilence Department Revenue,2201221 Postage/Courier expenses,50000
1078,900308 Recovery and Vigilence Department Revenue,2202101 Printing expenses,100000
1079,900308 Recovery and Vigilence Department Revenue,2203005 Travelling and Conveyance - Staff,50000
1080,900308 Recovery and Vigilence Department Revenue,2208051 Miscellaneous expenses,100000
1081,900308 Recovery and Vigilence Department Revenue,2208520 Expenses for Revenue Collection,500000
1082,900309 Market Revenue Department,2101001 Salaries & Allowances,41250000
1083,900309 Market Revenue Department,2201221 Postage/Courier expenses,10000
1084,900309 Market Revenue Department,2203005 Travelling and Conveyance - Staff,50000
1085,900309 Market Revenue Department,2208051 Miscellaneous expenses,200000
1086,900309 Market Revenue Department,2208506 Survey of Hoardings,200000
1087,900309 Market Revenue Department,2305134 Maint. of other Buildings of corporation,20000000
1088,900309 Market Revenue Department,2305918 Photography / Video graphical expenditure,500000
1089,900309 Market Revenue Department,4105025 Purchase of New Vehicles,2600000
